name,speed_km_h,miss_distance_km,diameter_min_km,diameter_max_km,is_hazardous
468005 (2012 XD112),80273.3553080122,65489118.092761725,0.1536579294,0.3435895754,True
(2001 BD16),85516.9330659286,25560687.02153659,0.235806068,0.5272783976,False
(2002 KK3),63374.2716462451,58009644.16990771,0.7665755735,1.7141150923,False
(2010 MP1),70087.7205208602,20616338.501454506,0.1338304618,0.2992540101,False
(2014 BK25),63360.9362749496,35659352.16709904,0.0088014652,0.0196806745,False
(2018 BS6),36927.102575767,29606494.27616253,0.0278326768,0.0622357573,False
(2018 MG7),66513.5554374659,25437966.27885546,0.1401376972,0.3133574171,True
(2020 BD11),36871.3076172365,40912704.84144724,0.0368599699,0.0824213984,False
(2021 RV5),157682.1185797248,73064448.82551011,0.2435314063,0.5445527791,False
(2022 BY39),23450.8382879043,23111566.66093019,0.0027450798,0.0061381851,False
(2023 TE7),88727.2399990289,60163295.93168644,0.0904804968,0.2023205415,False
(2025 GM1),55062.0874832321,29032043.571609683,0.2469192656,0.5521282628,False
(2025 KQ2),30818.2472500213,11368275.490233721,0.0442746337,0.0990010906,False
(2025 MY),52892.9384048406,14470778.89450085,0.1138557521,0.2545892014,False
(2003 AY2),57416.2908206652,5429696.234978499,0.2887719308,0.6457136672,True
(2020 MX3),20588.100339008,48460624.17304385,0.0485909037,0.1086525639,False
(2025 MZ),50334.5852765287,847203.25577548,0.0187307418,0.0418832119,False
(2025 MX1),23619.8803890981,593517.551475826,0.0041778705,0.0093420025,False
(2025 MY1),46560.1642580534,5016187.706103493,0.0656681795,0.1468385133,False
(2002 LD31),37628.2170479718,28793777.443363477,0.1460679643,0.3266178974,False
(2006 TK),28768.4012868994,17751972.780702405,0.2914439045,0.6516883822,False
(2015 BL514),17534.6070266386,37807003.1693576,0.0319561887,0.0714562102,False
(2021 CE1),26545.9441199264,12108570.393468566,0.0167708462,0.0375007522,False
(2021 YB),14014.4143972594,10328685.214817455,0.0083282735,0.0186225856,False
(2025 LC1),28896.2527751364,4120179.012908159,0.0243419282,0.0544302061,False
(2025 MK),44343.6128157978,5595963.077562823,0.0208715632,0.046670234,False
(2025 MR),38933.2865874614,1911877.638279949,0.0334622374,0.0748238376,False
527715 (2007 YQ56),53230.0091129381,11514661.613643117,0.2682594171,0.5998462923,True
(2010 AF40),35352.8718805022,37562216.324274465,0.02658,0.0594346868,False
(2017 EE3),63333.0114956579,52989118.23029273,0.0167708462,0.0375007522,False
